A_id,Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality,Price
6,1.33,1.64,0.88,0.0,3.11,0.0,2.41,good,7.31
27,2.0,0.67,0.0,2.65,0.0,0.37,0.0,bad,7.31
28,1.45,1.66,0.0,1.71,0.0,0.0,0.0,bad,8.69
43,0.81,0.75,0.18,1.45,0.0,0.0,0.18,bad,5.42
44,3.93,2.75,0.0,1.43,0.09,1.1,2.63,good,7.19
59,0.83,0.45,0.0,0.0,2.83,0.0,1.05,good,7.3
76,2.25,1.31,0.0,0.0,1.54,2.32,0.17,good,8.18
77,0.91,0.24,0.0,0.41,0.78,0.0,0.27,bad,9.2
89,1.29,0.12,0.0,1.25,0.42,0.27,0.06,bad,5.09
90,0.52,0.64,0.0,1.27,0.71,1.04,0.0,good,9.84
131,1.74,1.63,0.0,2.76,0.0,0.0,2.06,good,9.78
139,0.03,0.56,0.38,1.31,0.32,0.44,0.0,good,6.25
148,1.46,1.89,0.0,0.0,0.51,0.23,3.39,good,9.1
152,0.19,1.36,0.0,0.0,0.0,2.74,0.0,good,8.87
161,3.26,0.98,0.0,6.3,0.0,0.0,3.5,bad,8.86
217,1.57,0.87,0.0,0.0,1.77,0.0,2.68,good,7.31
221,1.76,1.69,0.0,0.0,0.0,1.42,0.84,good,9.07
255,1.22,0.45,0.0,2.84,0.0,0.0,0.34,good,6.3
260,1.86,0.57,0.0,0.0,0.0,3.53,0.0,good,5.89
265,0.78,0.75,0.0,0.25,1.19,0.0,1.34,bad,9.66
269,0.47,0.29,1.32,4.68,0.0,0.0,2.19,bad,7.95
289,0.49,0.38,0.0,0.51,0.0,2.3,0.43,bad,7.46
301,0.66,0.66,0.0,2.12,0.56,0.0,1.33,good,8.49
310,1.65,1.89,1.24,0.77,3.4,0.0,6.01,good,7.37
331,2.66,0.5,0.0,0.0,0.0,2.67,3.1,good,8.61
332,0.6,0.08,0.0,0.8,1.38,0.0,3.45,bad,7.77
341,2.86,0.66,0.0,2.48,0.0,2.49,0.0,good,6.15
348,1.77,0.77,0.65,0.67,0.0,0.0,2.65,good,9.81
357,1.04,1.36,1.4,2.64,0.0,0.0,3.44,bad,9.89
402,1.32,1.72,0.0,0.0,0.0,0.24,0.15,good,8.96
406,1.11,0.03,1.01,0.0,3.02,0.0,3.41,good,7.73
414,0.31,0.23,0.0,1.55,0.0,0.51,0.39,bad,5.32
416,0.28,2.01,0.0,0.63,0.0,0.0,1.28,good,7.84
417,3.85,2.17,1.59,0.75,1.43,0.0,5.0,good,6.96
430,0.16,0.42,0.0,2.74,0.0,2.34,1.98,bad,7.73
434,1.22,0.3,0.0,0.97,0.82,0.0,0.0,bad,6.12
436,1.38,0.73,0.0,1.64,3.02,0.0,3.56,good,8.0
443,0.22,0.38,0.0,2.32,1.96,0.08,0.03,good,9.95
444,0.49,1.96,1.44,0.0,0.95,0.0,3.5,good,5.31
472,0.44,1.6,0.0,1.33,0.0,0.0,0.0,good,6.6
474,1.73,1.79,0.0,0.16,0.19,0.0,2.31,good,5.36
489,0.77,1.54,0.0,1.44,0.28,0.87,1.95,bad,5.29
493,0.19,0.12,0.0,0.74,0.5,0.0,0.0,good,7.7
500,1.67,2.7,0.35,0.11,2.07,0.0,3.6,good,8.2
514,0.87,0.87,0.0,1.18,0.25,0.0,0.0,bad,8.18
521,0.28,0.13,0.0,0.0,0.0,1.27,0.0,bad,6.28
522,1.83,0.84,0.0,0.0,1.66,1.47,2.91,good,9.89
525,1.64,0.1,1.4,3.3,0.0,0.0,2.81,bad,5.97
528,0.06,0.39,0.0,2.4,0.77,1.01,0.68,good,6.35
570,3.96,0.44,0.0,0.0,4.34,0.65,4.86,good,8.26
571,0.24,0.74,0.0,0.0,1.78,0.19,0.0,bad,8.63
575,1.83,2.21,2.04,0.0,0.36,0.0,5.09,good,8.46
577,0.47,0.16,0.0,0.0,2.24,0.07,0.0,bad,7.8
592,3.2,0.96,0.0,0.75,0.0,0.45,2.58,good,6.56
598,0.08,0.31,2.1,1.28,1.43,0.0,1.05,bad,7.47
